Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,912665.50,55055.15,36000.00,104,0,28,0,277,0,37,0,4,0.9082832016683969,144
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,107.73,536568.93,963900.00,120,26,0,109,0,200,0,74,9,0.8906699412718685,576
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,325597.19,154984.38,999000.00,130,0,93,0,356,0,108,0,9,0.8203280480421239,564
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,8.81,396703.61,1046900.00,86,20,0,112,0,249,0,94,9,0.9722336353631736,540
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,56.85,272338.47,906000.00,64,16,0,57,0,73,0,59,9,0.8883001149276054,456
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,0.00,124153.73,1125600.00,62,25,0,80,0,63,0,47,8,0.9233125334670992,552
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,0.00,348617.18,649000.00,27,51,0,43,0,96,0,36,8,0.9481766949630639,300
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,1501888.94,0.00,0,157,0,22,0,266,0,32,0,Infinity,0
